rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,670541,Yordan Alvarez,HOU,WSH,2026-07-06T22:45:00Z,Pre-Game,2,Miles Mikolas,571945,R,76.3,Tier 2,Best Overall,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",86.1,57.9,53.7,100.0,80.0,94.7,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,26,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 10.1% barrel, 21.3 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,17.65,53.39,94.7,105.157,0.6673,0.3462,0.4518,76.03,60.76,40.67,37.71,22.1,0.269,10.11,40.75,89.65,0.4899,0.2172,28.35,R To L,86,Nationals Park,
2,695578,James Wood,WSH,HOU,2026-07-06T22:45:00Z,Pre-Game,1,Mike Burrows,681347,R,71.8,Tier 2,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",84.4,45.5,53.7,93.2,80.0,94.7,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,26,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 9.1% barrel, 17.2 HR allowed",EV profile; pitcher fly-ball pressure modest,20.74,59.03,94.93,106.3752,0.57,0.2988,0.4051,76.42,65.29,29.35,26.55,25.4,0.2526,9.05,38.99,88.36,0.4292,0.1738,27.68,R To L,86,Nationals Park,
3,660271,Shohei Ohtani,LAD,COL,2026-07-07T02:10:00Z,Pre-Game,1,Kyle Freeland,607536,L,68.3,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot",78.8,59.9,62.6,88.7,50.0,32.5,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,1,"Last 7 games: 6/28, 1 HR","same-side matchup; pitcher baseline 10.2% barrel, 17.8 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,18.11,54.01,93.85,104.1433,0.5832,0.298,0.4138,74.96,52.87,49.64,32.13,29.1,0.2658,10.24,44.71,90.89,0.4856,0.1959,28.8,Out To CF,70,UNIQLO Field at Dodger Stadium,
4,696100,Hunter Goodman,COL,LAD,2026-07-07T02:10:00Z,Pre-Game,3,Eric Lauer,641778,L,67.0,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",61.0,55.8,62.6,96.6,78.0,70.6,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.4% barrel, 16.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,15.84,46.2,91.22,102.8659,0.4737,0.2357,0.3296,75.03,50.54,48.77,31.92,28.2,0.2812,10.41,37.77,88.92,0.461,0.2077,38.09,Out To CF,70,UNIQLO Field at Dodger Stadium,
5,656941,Kyle Schwarber,PHI,KC,2026-07-06T18:10:00Z,In Progress,3,Noah Cameron,702070,L,62.9,Tier 3,Watch List,"Elite Power, Strong Barrel, Premium Lineup Spot",82.4,41.8,47.2,96.6,50.0,12.0,Yes,Yes,2,Yes,Yes,MLB Stats API; RotoWire,order MLB 3 vs RotoWire 2,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,25,0,"Last 7 games: 5/25, 0 HR","same-side matchup; pitcher baseline 7.9% barrel, 12.4 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,19.75,55.61,93.74,104.7822,0.546,0.2973,0.3891,77.16,76.33,55.19,34.93,37.8,0.316,7.91,38.38,88.67,0.4436,0.1758,25.26,L To R,85,Kauffman Stadium,
6,665742,Juan Soto,NYM,ATL,2026-07-06T23:15:00Z,Pre-Game,2,Reynaldo López,625643,R,62.5,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",71.8,35.7,44.9,100.0,80.0,46.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,23,1,"Last 7 games: 7/23, 1 HR","platoon edge; pitcher baseline 5.6% barrel, 4.5 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.54,51.1,93.03,103.2274,0.6017,0.3,0.4269,72.48,29.98,39.39,31.49,25.5,0.2606,5.62,39.92,88.01,0.4761,0.1699,27.44,In From RF,84,Truist Park,
7,700250,Ben Rice,NYY,TB,2026-07-06T22:40:00Z,Pre-Game,2,Griffin Jax,643377,R,61.5,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",61.0,49.4,41.1,100.0,80.0,42.7,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.3% barrel, 9.8 HR allowed",EV profile; pitcher fly-ball pressure modest,14.42,48.96,92.18,102.2641,0.5117,0.2429,0.3756,72.7,26.66,46.92,29.06,24.6,0.2776,10.31,42.21,88.99,0.4458,0.1828,22.74,None,72,Tropicana Field,
8,518692,Freddie Freeman,LAD,COL,2026-07-07T02:10:00Z,Pre-Game,3,Kyle Freeland,607536,L,61.1,Tier 3,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",49.8,59.9,62.6,92.1,50.0,70.6,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,26,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 10.2% barrel, 17.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.1,46.4,90.9,101.0648,0.5013,0.2147,0.3787,70.32,8.89,36.47,29.31,17.7,0.2084,10.24,44.71,90.89,0.4856,0.1959,28.8,Out To CF,70,UNIQLO Field at Dodger Stadium,
9,671277,Luis García Jr.,WSH,HOU,2026-07-06T22:45:00Z,Pre-Game,2,Mike Burrows,681347,R,60.9,Tier 3,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",48.7,45.5,53.7,100.0,80.0,92.6,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,27,5,Hot streak: 5 HR in last 7 games,"platoon edge; pitcher baseline 9.1% barrel, 17.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.12,46.36,91.53,101.8663,0.4959,0.2086,0.3502,73.17,33.53,40.24,22.33,18.1,0.2433,9.05,38.99,88.36,0.4292,0.1738,27.68,R To L,86,Nationals Park,
10,621566,Matt Olson,ATL,NYM,2026-07-06T23:15:00Z,Pre-Game,3,Freddy Peralta,642547,R,59.4,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",65.5,30.2,44.9,96.6,80.0,61.5,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 6.2% barrel, 15.4 HR allowed",EV profile; pitcher fly-ball pressure modest,13.91,51.97,92.95,104.0367,0.5123,0.258,0.3628,74.67,48.44,36.6,32.43,24.1,0.2456,6.22,37.79,87.86,0.3617,0.1347,26.17,In From RF,84,Truist Park,
11,676369,Nelson Velázquez,STL,MIL,2026-07-06T23:45:00Z,Pre-Game,4,Shane Drohan,675660,L,59.3,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",73.2,32.0,40.1,94.9,78.0,23.4,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,13,1,"Last 7 games: 2/13, 1 HR","platoon edge; pitcher baseline 8.7% barrel, 5.0 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,11.8,67.6,94.9,102.9117,0.595,0.291,0.418,75.0,57.1,47.1,32.4,3.0,0.25,8.7,36.2,87.7,0.355,0.125,27.0,In From LF,86,Busch Stadium,
